series_no,game_no,rating,color,opening,link,start,analysis,series,creator,move1,move2,move3,move4
1,1,397.0,B,Scotch,https://www.youtube.com/watch?v=Ytkf3qZTj74&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=1,0.0,,Back to 3000,Danya,,,,
2,1,436.0,B,"1. e4, Wayward Queen",https://www.youtube.com/watch?v=HiCeU8tIh0U&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=4,0.0,,Back to 3000,Danya,1. e4 e5,2. Qh5 Nc6,3. Bc4 g6,
3,1,476.0,B,"Bishop's Opening: Berlin,  Ponziani gambit",https://www.youtube.com/watch?v=3knyQ8z7lrQ&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=3,0.0,,Back to 3000,Danya,1. e4 e5 ,2. Bc4 Nf6 ,3. d4 exd4,
4,1,677.0,B,Van Geet Opening,https://www.youtube.com/watch?v=aEKSPFwvFoY&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=4,0.0,,Back to 3000,Danya,1. f3 e5 ,2. d3 d5 ,3. e4 Nf6,
4,2,692.0,B,1. e3,https://youtu.be/aEKSPFwvFoY,13.23,,Back to 3000,Danya,1. e3 e5 ,2. Nc3 d5 ,3. d4 e4,
5,1,730.0,W,Italian,https://www.youtube.com/watch?v=PHAmfkkrSSs&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=5,0.0,,Back to 3000,Danya,1. e4 e5 ,2. Nf3 Nc6 ,3. Bc4 d6,
5,2,744.0,W,"1. d4, Borg Defense",https://youtu.be/PHAmfkkrSSs,17.2,,Back to 3000,Danya,1. d4 g5,2. Bxg5 f6 ,3. e4 h5,
6,1,712.0,B,4 Knights Scotch,https://www.youtube.com/watch?v=js6ZLkfXwEg&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=6,0.0,,Back to 3000,Danya,1. e4 e5,2. Nf3 Nc6 ,3. Nc3 Nf6,
7,1,757.0,B,Scotch,https://www.youtube.com/watch?v=HVKBVYhxpEY&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=7,0.0,,Back to 3000,Danya,1. e4 e5 ,2. Nf3 Nc6 ,3. d4 exd4,
8,1,750.0,W,Scandinavian,https://www.youtube.com/watch?v=hzotV0aslmY&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=8,0.0,,Back to 3000,Danya,1. e4 d5 ,2. exd5 Qxd5 ,3. Nc3 Qd8,
8,2,803.0,B,King's Fianchetto Opening,https://youtu.be/hzotV0aslmY,17.55,,Back to 3000,Danya,1. g3 e5 ,2. Bg2 d5 ,3. e3 Nf6,
8,3,816.0,B,1. d4 d5 2. a3,https://youtu.be/hzotV0aslmY,32.3,,Back to 3000,Danya,1. d4 d5 ,2. a3 Nf6,3. Nf3 Bf5,
9,1,1073.0,B,1. e4 e5 2. Qf3,https://www.youtube.com/watch?v=33EpuPv4ULw&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=9,0.0,16.03,Back to 3000,Danya,1. e4 e5,,,
9,2,,W,Philidor,,7.3,18.15,Back to 3000,Danya,,,,
9,3,,W,Advance French,,12.13,28.4,Back to 3000,Danya,,,,
10,1,1112.0,W,Italian,https://www.youtube.com/watch?v=QJ3YfBMrVls&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=10,2.0,16.3,Back to 3000,Danya,,,,
10,2,,W,Philidor,,7.5,20.0,Back to 3000,Danya,,,,
10,3,,B,"Sicilian, Bowdler",,12.3,22.52,Back to 3000,Danya,,,,
11,1,1138.0,B,"Sicilian, Bowdler",https://www.youtube.com/watch?v=nsG9XSdGkj8&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=11,0.0,43.05,Back to 3000,Danya,,,,
